GEOID,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio
04001,11202,421,15582.789655987868,3.758257454026067
04003,11669,281,9266.847731135147,2.4080898106093067
04005,17221,326,12002.704285037216,1.8930375704082223
04007,6573,222,12168.166166833278,3.377453217708809
04009,5370,77,13827.020624662053,1.4338919925512104
04011,567,10,5969.677826910929,1.763668430335097
04012,2448,78,11597.49857873792,3.1862745098039214
04013,526890,9694,11746.741772331385,1.8398527206817363
04015,22252,691,10487.27265872062,3.105338845946432
04017,15747,521,14196.206411597132,3.3085667111195782
04019,113253,2361,10814.023770170126,2.084712987735424
04021,49996,858,10803.195408706775,1.7161372909832786
04023,7851,173,16884.597186975785,2.2035409501974272
04025,18377,489,7816.707004283302,2.6609348642324644
04027,36814,821,17219.943214507897,2.23012984190797
05001,2082,36,11906.668191696212,1.7291066282420748
05003,1910,33,9716.64038256092,1.7277486910994764
05005,3101,101,7395.306687017075,3.2570138664946797
05007,28280,409,10131.080708315869,1.4462517680339462
05009,3745,79,10004.808719811926,2.109479305740988
05011,1356,32,12598.717829601412,2.359882005899705
05013,409,3,7882.058200038542,0.7334963325183375
05015,2755,44,9707.54052149401,1.5970961887477313
05017,1610,40,15912.235619687684,2.484472049689441
05019,2091,40,9368.279569892473,1.9129603060736489
05021,1723,50,11841.110576592671,2.901915264074289
05023,1949,73,7821.3411453108065,3.745510518214469
05025,942,25,11840.120663650076,2.653927813163482
05027,2325,55,9911.7534211536,2.3655913978494625
05029,2193,32,10520.003837666698,1.459188326493388
05031,13114,176,11885.944241018018,1.3420771694372426
05033,6999,116,11064.38813095784,1.6573796256608089
05035,5907,96,12317.797935564591,1.6251904520060945
05037,1929,49,11748.583957610086,2.5401762571280457
05039,757,15,10800.39948637466,1.9815059445178336
05041,1358,24,11953.17313616759,1.7673048600883652
05043,1986,41,10900.708052033591,2.0644511581067477
05045,12248,157,9720.094915361846,1.2818419333768778
05047,1680,39,9483.488569009314,2.321428571428572
05049,1101,47,8824.236595335416,4.268846503178929
05051,10054,255,10116.112933411145,2.5363039586234333
05053,1637,32,8962.496578154942,1.9547953573610264
05055,6032,75,13308.328736900165,1.243368700265252
05057,1984,20,9214.192829277355,1.0080645161290325
05059,5016,71,14852.980367771164,1.4154704944178629
05061,1641,24,12429.934858354794,1.4625228519195612
05063,3725,121,9847.984137475214,3.248322147651007
05065,1662,41,12194.585075941008,2.4669073405535498
05067,3210,38,19199.712901489325,1.1838006230529594
05069,8756,163,13103.076738896203,1.8615806304248517
05071,2888,37,10866.129881857176,1.2811634349030472
05073,543,9,8197.463768115942,1.6574585635359116
05075,2072,43,12629.52578325003,2.0752895752895757
05077,1659,34,18730.94727334312,2.049427365883062
05079,3184,48,24447.17444717445,1.5075376884422111
05081,1224,41,9984.50118280447,3.349673202614379
05083,2206,22,10276.71666821951,0.99728014505893
05085,7081,117,9659.114160607838,1.6523089959045332
05087,1438,22,8675.193050193051,1.5299026425591098
05089,1038,30,6217.802803402421,2.8901734104046244
05091,4222,36,9760.270014101765,0.8526764566556134
05093,5766,106,14184.152911367491,1.8383628165105792
05095,862,17,12863.751678853903,1.9721577726218096
05097,751,33,8357.44491431115,4.394141145139813
05099,818,24,9912.748424624331,2.93398533007335
05101,708,26,9131.94892299755,3.672316384180791
05103,2292,60,9802.412111880934,2.6178010471204187
05105,827,10,7910.090865614538,1.2091898428053205
05107,1746,37,9818.918006973345,2.119129438717068
05109,997,22,9302.108602351183,2.206619859578736
05111,3119,76,13256.545392723565,2.436678422571337
05113,1965,71,9842.716890402726,3.61323155216285
05115,7887,106,12309.589212136349,1.3439837707620137
05117,888,20,11014.636566608782,2.2522522522522523
05119,38457,633,9812.687064154872,1.6459942273188235
05121,2069,47,11521.327542042543,2.2716288061865635
05123,3531,41,14127.390573737695,1.1611441517983574
05125,11744,166,9591.87173811838,1.4134877384196185
05127,928,14,9026.359303569692,1.5086206896551724
05129,673,17,8539.525440933892,2.526002971768202
05131,15075,273,11793.28310920228,1.8109452736318408
05133,2781,24,16352.090315752335,0.8629989212513485
05135,1555,45,8915.262011237244,2.893890675241157
05137,983,30,7860.227090996322,3.051881993896236
05139,3952,112,10216.638229667546,2.834008097165992
05141,1269,21,7669.990933816863,1.6548463356973997
05143,30335,344,12682.545456065756,1.134003626174386
05145,7854,118,9972.953411298617,1.502419149477973
05147,640,12,10126.582278481012,1.875
05149,3410,64,15978.632678881027,1.87683284457478
06001,84091,1432,5031.385203033035,1.7029170779274834
06003,88,0,7794.508414526129,0.0
06005,3587,46,9023.445361239686,1.282408698076387
06007,11396,193,5199.237177556961,1.6935766935766936
06009,2032,51,4426.533057401154,2.50984251968504
06011,2173,16,10084.9306167912,0.7363092498849517
06013,65882,774,5711.358044812168,1.1748277222913694
06015,1232,6,4429.742557169567,0.487012987012987
06017,9547,108,4950.6593446482375,1.13124541740861
06019,99814,1626,9990.3813528362,1.6290299957921734
06021,2335,25,8223.85799316733,1.0706638115631693
06023,3507,36,2587.084495197628,1.0265183917878529
06025,27661,715,15264.188946831113,2.58486677994288
06027,1408,38,7805.3107156716,2.698863636363636
06029,106628,1293,11844.897034221209,1.2126270773155268
06031,22676,243,14826.72943638028,1.0716175692361969
06033,3358,43,5215.419501133787,1.2805241215008931
06035,5660,24,18513.067085336734,0.4240282685512367
06037,1223205,23344,12184.40046510113,1.9084290858850317
06039,16085,236,10223.928505596625,1.4672054709356543
06041,13760,224,5316.312889740598,1.627906976744186
06043,415,7,2412.3699354763703,1.686746987951807
06045,3965,47,4570.657875018732,1.185372005044136
06047,30968,442,11152.405646787667,1.427279772668561
06049,480,4,5429.250084832032,0.8333333333333334
06051,1269,4,8785.654943229023,0.3152088258471237
06053,43057,342,9919.57351616478,0.7942959332977216
06055,9527,78,6916.453711232432,0.8187257268814947
06057,4370,75,4380.732795348604,1.7162471395881007
06059,267253,4791,8415.58312330037,1.7926833375116462
06061,21287,277,5344.074872781042,1.301263682059473
06063,686,6,3647.578029457117,0.8746355685131195
06065,295770,4442,11971.84751872663,1.5018426480035163
06067,99157,1627,6388.74320418438,1.6408322155773167
06069,5907,62,9404.852884982804,1.0496021669206026
06071,291989,4428,13393.468603288404,1.5164954844189336
06073,272194,3588,8153.597756962314,1.3181774763587737
06075,35572,488,4035.169911145041,1.3718655122006072
06077,70511,1325,9251.615171856383,1.8791394250542468
06079,20671,256,7301.376491906001,1.2384500024188476
06081,40649,553,5302.691328810172,1.3604270707766488
06083,33408,443,7482.211606296991,1.32602969348659
06085,115396,1969,5985.729194979697,1.7062983118998925
06087,15283,203,5593.8041015617855,1.3282732447817838
06089,11480,210,6374.944469124834,1.829268292682927
06091,107,0,3560.732113144759,0.0
06093,1890,16,4340.935712809205,0.8465608465608465
06095,31462,237,7028.368588361708,0.7532896827919395
06097,29431,311,5953.642866390472,1.0567089123713092
06099,59603,1009,10823.920386445356,1.692867808667349
06101,9212,106,9499.747347145025,1.150673035171515
06103,5348,56,8217.073320631798,1.0471204188481675
06105,393,5,3199.023199023199,1.272264631043257
06107,49188,819,10550.949709885348,1.6650402537204196
06109,4050,64,7434.193619442711,1.5802469135802468
06111,79867,989,9440.476781488547,1.2383086881941228
06113,13443,198,6096.598639455782,1.4728855166257533
06115,6051,43,7691.818782732496,0.710626342753264
08001,52241,644,10096.420516368682,1.2327482245745678
08003,1360,29,8377.995441384834,2.1323529411764706
08005,53007,691,8073.074521390821,1.3036014111343786
08007,774,1,5517.143060802623,0.1291989664082687
08009,278,4,7763.19463836917,1.4388489208633093
08011,1485,21,26627.21893491124,1.414141414141414
08013,21173,226,6490.882782130989,1.067397156756246
08014,4282,74,6076.775704250337,1.728164409154601
08015,1523,24,7481.823540970721,1.5758371634931057
08017,126,6,6881.485527034408,4.761904761904762
08019,410,3,4226.804123711339,0.7317073170731707
08021,465,10,5667.2760511883,2.150537634408602
08023,205,2,5273.990223823,0.975609756097561
08025,2145,14,35390.199637023594,0.6526806526806527
08027,176,1,3472.7703235990525,0.5681818181818182
08029,2570,61,8247.224183300175,2.3735408560311284
08031,65737,786,9039.604736452007,1.1956736693186485
08033,67,0,3260.3406326034064,0.0
