GEOID,Geographic Area Name,IT_WholeNum,IT_WhiteNum,IT_NHWhiteNum,IT_BlackNum,IT_WholeRate,IT_WhiteRate,IT_NHWhiteRate,IT_BlackRate
13303,"Washington, Georgia",12772,6406,6289,5928,69.1,77.2,76.9,61.4
13305,"Wayne, Georgia",21824,16620,15940,3957,78.8,78.0,77.9,77.4
13307,"Webster, Georgia",1869,1107,1101,581,71.7,79.8,81.5,60.0
13309,"Wheeler, Georgia",4137,2097,2097,2022,53.7,48.0,48.0,61.0
13311,"White, Georgia",22712,21483,21136,320,78.1,78.4,78.5,89.1
13313,"Whitfield, Georgia",87319,77599,50052,3118,85.0,84.9,83.6,84.1
13315,"Wilcox, Georgia",3843,2987,2968,781,57.1,60.1,63.0,47.8
13317,"Wilkes, Georgia",5327,3520,3481,1550,54.7,68.5,70.0,37.5
13319,"Wilkinson, Georgia",5721,3464,3377,2117,64.3,65.6,66.8,61.1
13321,"Worth, Georgia",15281,10749,10507,3902,75.2,77.1,76.7,68.6
15001,"Hawaii, Hawaii",159176,56194,51581,1078,81.2,85.8,86.6,88.8
15003,"Honolulu, Hawaii",856985,178916,156703,19896,90.4,93.3,93.1,95.1
15005,"Kalawao, Hawaii",39,10,10,2,70.9,83.3,83.3,100.0
15007,"Kauai, Hawaii",63159,21023,19197,286,89.0,91.6,91.8,94.7
15009,"Maui, Hawaii",143556,53070,45191,629,88.0,91.8,91.8,89.5
16001,"Ada, Idaho",400551,362987,341828,4971,89.4,89.5,89.9,82.8
16003,"Adams, Idaho",3260,3123,3035,16,80.9,80.9,81.4,100.0
16005,"Bannock, Idaho",74762,67142,63144,462,89.4,90.0,90.0,87.8
16007,"Bear Lake, Idaho",5404,5104,5028,30,90.6,90.8,90.8,56.6
16009,"Benewah, Idaho",6827,5936,5796,6,75.4,75.8,75.7,100.0
16011,"Bingham, Idaho",41276,34741,31370,134,90.6,92.6,93.3,100.0
16013,"Blaine, Idaho",19285,18552,15222,50,87.7,89.0,92.6,64.1
16015,"Boise, Idaho",6083,5838,5544,12,83.2,83.9,83.2,100.0
16017,"Bonner, Idaho",34791,33119,32332,120,80.6,80.7,80.4,100.0
16019,"Bonneville, Idaho",105004,94077,87502,525,92.9,93.0,93.1,93.8
16021,"Boundary, Idaho",9657,9110,8755,5,82.3,82.5,82.6,8.1
16023,"Butte, Idaho",2166,2163,2045,3,85.5,85.8,85.2,100.0
16025,"Camas, Idaho",846,843,843,0,80.7,80.7,82.0,
16027,"Canyon, Idaho",187800,154546,133545,718,87.6,87.3,88.8,90.8
16029,"Caribou, Idaho",6256,5959,5796,0,91.1,90.9,92.0,
16031,"Cassia, Idaho",20999,19625,14786,19,90.1,90.1,90.6,100.0
16033,"Clark, Idaho",613,554,316,0,69.0,68.6,78.2,
16035,"Clearwater, Idaho",6061,5679,5534,24,78.6,78.4,78.1,82.8
16037,"Custer, Idaho",3335,3042,2990,0,82.2,81.9,82.4,
16039,"Elmore, Idaho",22525,19348,16918,585,86.5,87.0,89.2,90.6
16041,"Franklin, Idaho",12325,11727,11405,35,91.9,92.4,93.3,100.0
16043,"Fremont, Idaho",10689,10211,9182,8,85.8,86.0,86.1,80.0
16045,"Gem, Idaho",14863,13294,12937,20,86.4,85.8,85.7,100.0
16047,"Gooding, Idaho",11834,10844,8096,13,78.6,77.5,79.3,100.0
16049,"Idaho, Idaho",12078,11226,10956,3,76.8,76.4,76.2,100.0
16051,"Jefferson, Idaho",25656,23645,22618,0,90.0,90.9,91.5,
16053,"Jerome, Idaho",18555,17189,12622,36,78.7,78.0,87.2,87.8
16055,"Kootenai, Idaho",138723,130401,125418,345,89.2,89.2,88.9,78.9
16057,"Latah, Idaho",32049,29551,28568,385,88.3,88.2,88.0,89.1
16059,"Lemhi, Idaho",6329,5970,5872,0,82.8,82.3,82.1,
16061,"Lewis, Idaho",2870,2544,2435,5,75.4,76.7,75.9,100.0
16063,"Lincoln, Idaho",4045,3742,2889,0,76.3,75.9,82.8,
16065,"Madison, Idaho",30884,28924,27950,12,79.9,80.5,81.7,21.8
16067,"Minidoka, Idaho",17471,16302,11345,30,84.7,84.4,88.7,100.0
16069,"Nez Perce, Idaho",33261,29830,28961,140,84.8,84.9,84.8,100.0
16071,"Oneida, Idaho",3808,3743,3546,5,87.4,87.8,87.2,100.0
16073,"Owyhee, Idaho",8830,7246,6332,43,77.3,80.2,80.9,89.6
16075,"Payette, Idaho",19751,17672,15866,19,85.5,87.0,87.6,100.0
16077,"Power, Idaho",6234,5693,4048,5,81.9,89.1,86.8,100.0
16079,"Shoshone, Idaho",9606,9117,8918,3,78.1,79.1,79.3,10.7
16081,"Teton, Idaho",10366,9152,8640,0,90.7,90.1,93.2,
16083,"Twin Falls, Idaho",72414,66686,57937,339,86.4,86.7,87.5,51.8
16085,"Valley, Idaho",8925,8839,8406,0,84.8,84.8,84.2,
16087,"Washington, Idaho",7946,7040,6247,17,80.1,80.8,79.8,100.0
17001,"Adams, Illinois",54011,50303,49603,1963,83.6,83.6,83.4,77.8
17003,"Alexander, Illinois",3526,2143,2129,1318,57.5,55.4,55.4,64.2
17005,"Bond, Illinois",12168,11389,10994,632,82.1,81.4,80.9,96.2
17007,"Boone, Illinois",48344,42191,35111,1004,90.9,90.7,90.5,87.4
17009,"Brown, Illinois",3893,3862,3640,0,81.9,81.8,81.2,
17011,"Bureau, Illinois",27623,25794,24181,321,84.5,84.5,84.4,94.4
17013,"Calhoun, Illinois",3652,3560,3554,0,77.6,77.2,77.5,
17015,"Carroll, Illinois",12252,11818,11438,62,86.8,86.6,86.5,68.1
17017,"Cass, Illinois",9805,8888,7653,257,79.6,81.6,82.6,39.4
17019,"Champaign, Illinois",167685,123723,116415,20230,86.3,88.4,88.5,75.5
17021,"Christian, Illinois",25502,24830,24594,154,81.7,81.8,81.8,96.9
17023,"Clark, Illinois",12592,12158,12110,93,81.2,80.9,80.9,93.0
17025,"Clay, Illinois",10512,10205,10199,36,81.2,81.6,81.6,100.0
17027,"Clinton, Illinois",29814,28745,28319,170,84.2,84.5,84.8,55.9
17029,"Coles, Illinois",39764,37780,37035,930,83.7,84.3,84.2,74.9
17031,"Cook, Illinois",4348486,2549876,1932139,916753,85.2,88.1,89.7,77.2
17033,"Crawford, Illinois",13877,13171,13064,145,83.7,83.1,83.2,100.0
17035,"Cumberland, Illinois",8657,8393,8375,0,80.8,80.5,80.8,
17037,"DeKalb, Illinois",91685,78079,71330,6511,91.9,92.0,91.6,93.0
17039,"De Witt, Illinois",13122,12751,12637,20,83.8,84.4,84.9,100.0
17041,"Douglas, Illinois",14856,14090,13186,107,76.4,75.6,75.0,100.0
17043,"DuPage, Illinois",858311,658047,574055,39029,93.7,93.6,93.8,89.5
17045,"Edgar, Illinois",14189,14081,14043,9,83.1,83.3,83.7,29.0
17047,"Edwards, Illinois",5465,5294,5279,38,85.4,85.1,85.2,100.0
17049,"Effingham, Illinois",29166,28252,27859,178,86.7,86.4,86.3,91.8
17051,"Fayette, Illinois",15525,15185,15036,88,78.0,77.8,77.6,100.0
17053,"Ford, Illinois",11076,10624,10452,90,86.0,86.8,86.8,72.6
17055,"Franklin, Illinois",30845,30047,29724,202,80.2,80.6,80.6,71.9
17057,"Fulton, Illinois",27320,26643,26165,203,84.0,83.8,83.6,100.0
17059,"Gallatin, Illinois",3687,3532,3515,8,72.9,72.4,72.7,32.0
17061,"Greene, Illinois",10231,10054,9974,11,79.6,79.7,79.5,91.7
17063,"Grundy, Illinois",45291,42317,38911,557,90.0,90.1,89.6,85.8
17065,"Hamilton, Illinois",6321,6292,6252,0,78.3,78.3,78.2,
17067,"Hancock, Illinois",14141,13769,13621,23,79.8,79.7,79.7,27.7
17069,"Hardin, Illinois",3017,2919,2901,36,79.0,78.5,78.6,100.0
17071,"Henderson, Illinois",5828,5675,5574,0,86.3,85.9,85.9,
17073,"Henry, Illinois",40012,37887,36672,479,82.4,82.8,83.3,59.6
17075,"Iroquois, Illinois",23340,21665,20980,188,85.3,85.5,85.3,98.9
17077,"Jackson, Illinois",44343,33523,32709,6359,82.3,81.4,81.2,81.5
17079,"Jasper, Illinois",7823,7602,7584,17,82.2,81.9,82.0,56.7
17081,"Jefferson, Illinois",30198,26696,26377,1980,84.9,84.5,84.4,84.6
17083,"Jersey, Illinois",17057,16451,16264,11,81.4,80.8,80.8,100.0
17085,"Jo Daviess, Illinois",18517,18007,17491,77,86.6,86.6,86.2,84.6
17087,"Johnson, Illinois",7616,7500,7451,8,74.5,74.4,74.3,36.4
17089,"Kane, Illinois",477634,350738,280162,23915,90.8,91.3,93.5,84.0
17091,"Kankakee, Illinois",86947,71826,65653,10389,82.8,85.8,86.8,65.7
17093,"Kendall, Illinois",120428,97943,83306,9056,95.8,95.7,95.3,98.0
17095,"Knox, Illinois",36534,32518,31811,2118,79.1,79.8,79.7,70.6
17097,"Lake, Illinois",633489,481984,395481,38153,92.7,92.9,93.8,86.5
17099,"LaSalle, Illinois",92659,86832,80437,1233,87.1,87.3,87.4,73.1
17101,"Lawrence, Illinois",11072,10605,10510,136,81.1,82.2,82.5,88.3
17103,"Lee, Illinois",26884,25426,24486,376,86.6,86.6,86.4,82.5
17105,"Livingston, Illinois",28185,26820,25989,505,83.6,83.5,83.6,84.7
17107,"Logan, Illinois",20806,19752,19481,113,83.6,83.5,83.4,91.9
17109,"McDonough, Illinois",22499,20746,20499,305,83.0,83.2,83.1,50.7
17111,"McHenry, Illinois",290349,267723,235480,3914,94.9,94.8,94.9,91.4
