GEOID,Rate_poor_fair_health,provcount_b,provcount_c,injury_deaths_per_100000
20203,0.153,6,5,98.2
20205,0.23399999999999999,8,9,81.0
20207,0.19399999999999998,10,9,121.0
20209,0.213,15,10,74.9
21001,0.318,11,9,71.8
21003,0.217,11,9,89.0
21005,0.182,9,9,74.6
21007,0.242,10,6,75.1
21009,0.218,15,9,79.6
21011,0.255,9,9,130.3
21013,0.3,9,6,132.1
21015,0.12300000000000001,16,7,56.5
21017,0.156,11,9,91.0
21019,0.256,13,9,86.7
21021,0.128,13,9,84.4
21023,0.22699999999999998,6,7,94.3
21025,0.342,12,12,165.2
21027,0.248,12,10,93.6
21029,0.20800000000000002,12,9,56.8
21031,0.212,12,11,112.9
21033,0.171,13,10,94.0
21035,0.168,14,9,76.4
21037,0.165,14,7,74.2
21039,,7,6,110.3
21041,0.335,11,7,101.3
21043,0.312,12,9,109.3
21045,0.253,10,11,81.4
21047,0.231,15,11,67.3
21049,0.196,11,7,109.1
21051,0.36200000000000004,12,10,148.3
21053,0.276,9,7,136.6
21055,0.282,11,9,83.6
21057,0.28800000000000003,11,9,154.6
21059,0.17600000000000002,15,10,71.6
21061,0.287,10,8,74.3
21063,0.289,6,5,90.6
21065,0.29100000000000004,10,9,127.0
21067,0.132,13,9,58.6
21069,0.239,8,7,97.2
21071,0.38,13,9,162.3
21073,0.163,13,8,64.0
21075,0.31,10,8,82.8
21077,0.22399999999999998,12,7,133.7
21079,0.191,9,10,73.4
21081,0.263,13,8,94.7
21083,0.21600000000000003,17,13,94.6
21085,0.252,12,10,114.9
21087,0.24100000000000002,10,8,72.5
21089,0.23600000000000002,11,9,76.9
21091,0.195,11,9,76.9
21093,0.188,15,11,63.7
21095,0.364,15,13,121.2
21097,0.172,8,9,97.9
21099,0.251,10,8,62.4
21101,0.18899999999999997,14,10,62.3
21103,0.149,9,8,88.1
21105,0.20199999999999999,10,9,119.1
21107,0.215,14,10,83.6
21109,0.33899999999999997,6,6,84.6
21111,0.16899999999999998,26,14,69.6
21113,0.151,11,7,70.8
21115,0.27699999999999997,10,8,112.3
21117,0.155,14,8,78.1
21119,0.324,8,10,152.6
21121,0.319,13,12,121.3
21123,0.198,11,10,69.1
21125,0.27,14,11,88.3
21127,0.282,11,8,117.0
21129,0.35200000000000004,9,8,130.3
21131,0.354,9,8,127.3
21133,0.299,9,8,125.8
21135,0.307,7,7,73.4
21137,0.345,12,11,103.7
21139,0.207,12,10,111.8
21141,0.225,14,10,89.6
21143,0.247,8,8,72.0
21145,0.188,17,13,85.1
21147,0.405,8,6,67.0
21149,0.184,9,8,94.1
21151,0.179,12,10,66.9
21153,0.386,7,5,116.4
21155,0.183,11,9,76.5
21157,0.19699999999999998,14,10,103.9
21159,0.375,7,7,130.0
21161,0.17300000000000001,10,8,62.8
21163,0.18899999999999997,11,8,63.6
21165,0.314,5,4,117.0
21167,0.145,13,11,82.7
21169,0.332,7,7,101.2
21171,0.19699999999999998,9,9,131.7
21173,0.23600000000000002,10,9,90.5
21175,0.29100000000000004,8,4,94.9
21177,0.196,15,10,86.7
21179,0.19,14,12,73.6
21181,,8,9,107.1
21183,0.268,12,9,81.7
21185,0.092,12,8,45.4
21187,0.205,11,10,99.3
21189,0.384,5,5,126.2
21191,0.318,9,8,109.7
21193,0.354,12,8,144.7
21195,0.353,12,10,121.1
21197,0.218,9,7,148.8
21199,0.266,11,8,77.1
21201,0.233,6,7,115.5
21203,0.276,10,9,126.4
21205,0.242,10,7,80.5
21207,0.207,11,8,123.0
21209,0.183,13,9,50.0
21211,0.135,12,9,46.8
21213,0.152,13,10,79.6
21215,0.177,8,8,70.0
21217,0.21600000000000003,13,8,93.8
21219,0.23399999999999999,11,9,86.5
21221,0.24100000000000002,8,7,97.9
21223,,8,7,81.6
21225,0.19699999999999998,10,8,98.7
21227,0.17300000000000001,18,14,54.0
21229,0.14800000000000002,11,10,102.6
21231,0.314,11,10,73.9
21233,0.221,10,7,99.7
21235,0.27399999999999997,12,11,111.7
21237,0.331,5,5,150.7
21239,,12,8,89.4
22001,0.204,12,10,90.8
22003,0.25,11,8,59.8
22005,0.17800000000000002,12,9,58.4
22007,0.19,10,10,80.6
22009,0.257,12,6,83.0
22011,0.226,13,8,82.0
22013,0.268,7,7,64.2
22015,0.168,13,9,59.4
22017,0.171,14,11,74.4
22019,0.19699999999999998,15,11,74.4
22021,0.28800000000000003,7,6,90.9
22023,0.245,9,9,54.9
22025,0.23600000000000002,9,7,101.8
22027,0.223,10,8,73.8
22029,0.187,9,7,90.1
22031,0.187,13,10,84.7
22033,0.155,19,12,63.8
22035,0.268,7,6,82.7
22037,0.264,10,7,65.2
22039,0.221,12,10,89.4
22041,0.293,9,7,70.5
22043,0.27699999999999997,5,5,95.3
22045,0.244,13,10,77.5
22047,0.18899999999999997,16,10,62.9
22049,0.214,9,8,56.8
22051,0.20199999999999999,19,12,74.9
22053,0.2,14,10,90.0
22055,0.14400000000000002,17,14,57.1
22057,0.196,17,11,68.3
22059,0.154,6,6,97.1
22061,0.22,12,9,46.4
22063,0.19699999999999998,14,11,88.7
22065,0.14800000000000002,9,6,75.9
22067,0.259,12,10,87.4
22069,0.223,13,8,75.6
22071,0.184,18,14,102.0
22073,0.20199999999999999,18,13,68.8
22075,0.172,14,9,66.4
22077,0.17300000000000001,11,8,94.7
22079,0.21100000000000002,16,10,75.2
22081,0.28,10,9,92.8
22083,0.20800000000000002,11,8,64.4
22085,0.239,9,7,85.7
22087,0.20800000000000002,10,6,100.6
22089,0.158,13,8,58.5
22091,0.259,6,6,84.7
22093,0.251,12,11,71.9
22095,0.228,14,12,78.1
22097,0.245,16,13,89.1
22099,0.20600000000000002,14,12,64.2
22101,0.257,15,11,75.1
22103,0.153,14,9,73.0
22105,0.228,14,12,81.7
22107,0.21899999999999997,5,6,107.9
22109,0.23,14,10,81.6
22111,0.24100000000000002,10,9,79.5
22113,0.16699999999999998,13,10,54.8
22115,0.221,10,8,59.9
22117,0.264,10,7,98.6
22119,0.22699999999999998,13,9,69.5
22121,0.207,11,8,59.0
22123,0.215,7,6,75.9
22125,0.20199999999999999,7,6,42.4
22127,0.266,8,7,73.5
23001,0.134,17,8,57.9
23003,0.177,11,10,63.5
23005,0.098,19,11,56.3
23007,0.124,12,10,63.8
23009,0.11699999999999999,15,12,70.1
23011,0.14,17,9,63.9
23013,0.122,14,10,69.8
23015,0.102,12,10,84.8
23017,0.156,11,8,64.7
23019,0.14400000000000002,23,17,59.1
23021,0.16399999999999998,11,11,81.4
23023,0.115,15,10,44.0
23025,0.17,15,13,69.1
23027,0.124,15,11,71.2
23029,0.175,13,13,96.2
23031,0.11599999999999999,19,12,60.6
24001,0.175,15,10,76.0
24003,0.107,28,10,49.8
24005,0.142,27,11,62.1
24009,0.121,11,7,51.4
24011,0.179,8,7,85.6
24013,0.126,17,12,53.1
24015,0.152,17,9,74.4
24017,0.125,13,8,53.1
24019,0.16399999999999998,8,6,59.6
24021,0.105,24,14,44.9
24023,0.18100000000000002,14,11,57.9
24025,0.127,19,12,57.5
24027,0.08800000000000001,27,14,32.7
24029,0.128,7,8,67.4
24031,0.092,28,12,30.3
24033,0.128,29,11,48.1
