Geographic Area Name,Rate_Unemployment_Whole,Rate_Unemployment_White,Rate_Unemployment_Black,Rate_Unemployment_AIndA,Rate_Unemployment_Asian,Unemployment Parity
"Clark, Arkansas",0.02,0.025,0.002,0.0,0.061,0.023
"Clay, Arkansas",0.052000000000000005,0.053,0.0,,0.0,0.053
"Cleburne, Arkansas",0.043,0.044000000000000004,0.0,0.0,0.0,0.044000000000000004
"Cleveland, Arkansas",0.055,0.040999999999999995,0.153,,,-0.112
"Columbia, Arkansas",0.109,0.08800000000000001,0.158,0.0,0.0,-0.06999999999999999
"Conway, Arkansas",0.067,0.066,0.078,0.0,0.37200000000000005,-0.011999999999999997
"Craighead, Arkansas",0.062,0.047,0.134,0.0,0.0,-0.08700000000000001
"Crawford, Arkansas",0.045,0.04,0.0,0.128,0.028999999999999998,0.04
"Crittenden, Arkansas",0.08800000000000001,0.055,0.11599999999999999,0.45799999999999996,0.0,-0.06099999999999999
"Cross, Arkansas",0.061,0.054000000000000006,0.10300000000000001,,0.0,-0.049
"Dallas, Arkansas",0.033,0.062,0.001,0.0,1.0,0.061
"Desha, Arkansas",0.08199999999999999,0.034,0.142,0.0,0.0,-0.10799999999999998
"Drew, Arkansas",0.039,0.034,0.055,,0.0,-0.020999999999999998
"Faulkner, Arkansas",0.038,0.038,0.044000000000000004,0.0,0.0,-0.006000000000000005
"Franklin, Arkansas",0.031,0.032,0.0,0.0,0.0,0.032
"Fulton, Arkansas",0.057,0.054000000000000006,0.0,0.0,,0.054000000000000006
"Garland, Arkansas",0.055,0.047,0.11,0.22399999999999998,0.0,-0.063
"Grant, Arkansas",0.039,0.04,0.096,0.0,,-0.056
"Greene, Arkansas",0.076,0.077,0.019,0.0,0.0,0.057999999999999996
"Hempstead, Arkansas",0.046,0.038,0.052000000000000005,0.0,0.0,-0.014000000000000005
"Hot Spring, Arkansas",0.06,0.045,0.17800000000000002,0.0,0.214,-0.133
"Howard, Arkansas",0.068,0.053,0.122,0.0,0.0,-0.069
"Independence, Arkansas",0.047,0.048,0.021,,0.011000000000000001,0.027
"Izard, Arkansas",0.086,0.08800000000000001,,0.0,,
"Jackson, Arkansas",0.075,0.065,0.111,,,-0.046
"Jefferson, Arkansas",0.091,0.059000000000000004,0.11599999999999999,0.0,0.0,-0.05699999999999999
"Johnson, Arkansas",0.038,0.040999999999999995,0.0,0.0,0.0,0.040999999999999995
"Lafayette, Arkansas",0.054000000000000006,0.05,0.065,,0.0,-0.015
"Lawrence, Arkansas",0.07200000000000001,0.07200000000000001,0.091,0.071,0.0,-0.01899999999999999
"Lee, Arkansas",0.12300000000000001,0.055999999999999994,0.174,0.0,0.0,-0.118
