GEOID,hesitancy,strong_hesitancy
19033,0.19,0.1
19035,0.19,0.1
19037,0.2,0.1
19039,0.21,0.11
19041,0.18,0.1
19043,0.2,0.1
19045,0.2,0.11
19047,0.19,0.1
19049,0.16,0.08
19051,0.21,0.11
19053,0.21,0.11
19055,0.2,0.1
19057,0.21,0.11
19059,0.18,0.1
19061,0.2,0.1
19063,0.18,0.1
19065,0.2,0.1
19067,0.19,0.1
19069,0.2,0.11
19071,0.21,0.11
19073,0.19,0.1
19075,0.2,0.11
19077,0.21,0.11
19079,0.2,0.11
19081,0.19,0.1
19083,0.2,0.11
19085,0.21,0.11
19087,0.21,0.11
19089,0.2,0.1
19091,0.2,0.11
19093,0.19,0.1
19095,0.21,0.11
19097,0.2,0.1
19099,0.19,0.1
19101,0.21,0.11
19103,0.18,0.09
19105,0.2,0.11
19107,0.21,0.11
19109,0.19,0.1
19111,0.21,0.11
19113,0.2,0.1
19115,0.21,0.11
19117,0.21,0.11
19119,0.18,0.1
19121,0.19,0.1
19123,0.21,0.11
19125,0.19,0.1
19127,0.21,0.11
19129,0.21,0.11
19131,0.19,0.1
19133,0.19,0.1
19135,0.21,0.11
19137,0.21,0.11
19139,0.2,0.11
19141,0.18,0.1
19143,0.18,0.1
19145,0.21,0.11
19147,0.18,0.1
19149,0.21,0.12
19151,0.19,0.1
19153,0.19,0.1
19155,0.21,0.11
19157,0.21,0.11
19159,0.21,0.11
19161,0.19,0.1
19163,0.19,0.1
19165,0.21,0.11
19167,0.18,0.1
19169,0.19,0.09
19171,0.21,0.11
19173,0.21,0.11
19175,0.21,0.11
19177,0.21,0.11
19179,0.21,0.11
19181,0.19,0.1
19183,0.21,0.11
19185,0.21,0.11
19187,0.2,0.11
19189,0.19,0.1
19191,0.2,0.1
19193,0.21,0.12
19195,0.19,0.1
19197,0.2,0.11
20001,0.2,0.08
20003,0.2,0.08
20005,0.21,0.08
20007,0.2,0.08
20009,0.2,0.08
20011,0.2,0.08
20013,0.19,0.08
20015,0.18,0.07
20017,0.19,0.08
20019,0.19,0.08
20021,0.22,0.09
20023,0.19,0.08
20025,0.2,0.09
20027,0.19,0.08
20029,0.19,0.08
20031,0.19,0.08
20033,0.2,0.08
