GEOID,Segregation index,Average Traffic Volume per Meter of Major Roadways,% Vaccinated,% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (White),Violent Crime Rate
12093,46.356834701,140.2543781,38.0,33.0,34.0,39.0,390.34281731
12095,51.562664282,511.67187529,40.0,39.0,28.0,44.0,647.96862419
12097,27.040953492,270.94367844,37.0,37.0,25.0,42.0,425.63477221
12099,53.585874286,586.494146,49.0,40.0,25.0,52.0,451.78936953
12101,43.348249648,167.0639691,43.0,44.0,29.0,44.0,304.19575463
12103,59.869683643,347.78292649,44.0,43.0,28.0,45.0,464.86022321
12105,39.934252262,197.18580363,43.0,39.0,27.0,45.0,340.51055722
12107,42.740506887,81.31051632,37.0,41.0,25.0,37.0,537.1134306
12109,51.486733554,77.444195221,49.0,48.0,31.0,50.0,225.4094273
12111,33.640585454,267.92355184,42.0,36.0,26.0,44.0,298.69371953
12113,34.55504296,106.24889501,39.0,41.0,32.0,39.0,145.43043826
12115,58.744200209,256.92882092,50.0,43.0,31.0,51.0,238.88888201
12117,33.844744237,355.37441841,43.0,43.0,29.0,46.0,356.8931814
12119,59.75294611,48.672385078,47.0,55.0,27.0,48.0,212.45766781
12121,43.591996931,11.996801179,31.0,,26.0,32.0,513.58459472
12123,47.752832311,59.58407211,33.0,,27.0,33.0,915.96362441
12125,12.609376502,11.574555792,38.0,,22.0,40.0,273.35001976
12127,51.345881253,255.71152587,42.0,42.0,28.0,44.0,428.08435654
12129,15.567947686,28.742575808,38.0,,25.0,39.0,218.86349579
12131,43.526074198,102.34857105,38.0,41.0,26.0,39.0,361.62518613
12133,35.48510987,40.687611006,31.0,33.0,21.0,32.0,189.85296494
13000,54.084015734,408.85481885,44.0,,,,387.53483119
13001,42.007978275,36.675704882,31.0,,25.0,33.0,379.19826652
13003,23.319949933,71.780121332,37.0,,22.0,39.0,
13005,26.339825362,47.837965156,33.0,,24.0,34.0,
13007,20.298737372,4.8379540963,28.0,,5.0,40.0,
13009,15.064558077,89.968720319,41.0,32.0,23.0,47.0,689.41443407
13011,42.817104914,19.520571866,47.0,,,48.0,194.75777002
13013,34.289457357,41.58491442,46.0,44.0,33.0,48.0,497.24463225
13015,35.909717621,148.89333081,48.0,38.0,38.0,49.0,467.95743699
13017,24.451239285,46.531693227,37.0,,28.0,40.0,361.24888902
13019,36.52486279,22.290016456,43.0,,42.0,44.0,224.23890677
13021,54.691000512,429.81419413,42.0,46.0,29.0,47.0,500.68215496
13023,31.295860322,3.3237629502,47.0,,38.0,48.0,354.53849563
13025,32.581248856,20.131764978,36.0,,32.0,36.0,198.66648524
13027,32.711297913,93.454284809,38.0,,31.0,41.0,527.20513687
13029,22.563340194,105.76254953,42.0,41.0,26.0,44.0,258.11051693
13031,33.376533499,81.719362071,48.0,63.0,32.0,52.0,184.83128043
13033,23.911441731,51.514452357,28.0,,21.0,32.0,619.77068485
13035,38.13673182,23.321993946,38.0,,25.0,41.0,305.01461084
13037,21.687439425,17.548617711,30.0,,20.0,37.0,1499.4326471
13039,17.548184765,47.998314345,42.0,48.0,32.0,44.0,319.79797265
13043,19.980312249,24.709147906,33.0,,23.0,35.0,
13045,26.490662536,94.597751224,40.0,40.0,30.0,42.0,311.38322472
13047,27.25960551,210.44594072,47.0,48.0,32.0,48.0,260.12915715
13049,32.749817535,27.798932818,39.0,,29.0,41.0,189.43699326
13051,47.523445515,362.42314477,45.0,46.0,33.0,49.0,448.04038988
13053,33.861357375,33.168180435,37.0,,36.0,38.0,0.0
13055,46.163117579,63.186996228,44.0,,27.0,45.0,136.2176229
13057,31.509826428,301.9650845,48.0,58.0,39.0,49.0,93.205610294
13059,28.877842114,268.49143944,49.0,50.0,34.0,53.0,404.78640757
13061,,5.2858800155,33.0,,24.0,37.0,200.0
13063,30.496923473,408.93629356,39.0,49.0,29.0,47.0,632.28407094
13065,21.512710547,57.741072408,35.0,,29.0,36.0,473.45036055
13067,41.587665949,542.85505567,49.0,50.0,35.0,51.0,265.50774296
13069,30.559831037,57.630778211,36.0,33.0,27.0,38.0,325.45888323
13071,44.003122569,83.848319235,37.0,33.0,29.0,38.0,
13073,26.686498217,122.53149615,46.0,55.0,33.0,48.0,51.627486753
13075,15.082078021,114.73161523,40.0,,35.0,42.0,301.80776693
13077,40.746282713,102.617035,44.0,38.0,32.0,46.0,231.98486834
13079,46.121220179,8.6159998268,43.0,,32.0,48.0,153.15275894
13081,22.48930873,88.052383551,39.0,,26.0,44.0,288.19692734
13083,,119.32976697,42.0,,,,333.24161546
13085,6.6995510257,70.061218565,47.0,,,47.0,97.083189506
