Geographic Area Name,HighSchool_WholeRate,Bachelor_WholeRate,HighSchool_WhiteRate,Bachelor_WhiteRate,HighSchool_NHWhiteRate,Bachelor_NHWhiteRate,HighSchool_BlackRate,Bachelor_BlackRate
"Silver Bow, Montana",92.5,27.2,92.6,27.2,93.1,28.1,90.4,72.0
"Stillwater, Montana",94.0,25.0,94.1,25.1,94.0,24.9,100.0,0.0
"Sweet Grass, Montana",94.6,25.4,94.7,24.2,94.8,24.6,,
"Teton, Montana",92.0,24.9,92.2,24.4,92.8,24.6,100.0,0.0
"Toole, Montana",88.8,15.2,90.6,16.2,90.6,16.7,78.3,0.0
"Treasure, Montana",89.8,25.4,93.3,25.4,93.2,25.1,,
"Valley, Montana",93.9,21.5,94.6,23.4,94.5,23.3,100.0,0.0
"Wheatland, Montana",81.8,19.6,81.0,20.6,80.8,20.8,,
"Wibaux, Montana",88.7,23.4,88.4,23.0,90.0,24.2,,
"Yellowstone, Montana",94.1,32.1,94.4,32.7,94.9,33.2,92.3,30.5
"Adams, Nebraska",90.0,24.3,92.2,25.1,93.5,25.0,95.6,0.0
"Antelope, Nebraska",93.0,18.4,93.4,18.6,93.7,18.7,88.9,22.2
"Arthur, Nebraska",93.7,26.2,93.5,25.4,93.5,25.5,,
"Banner, Nebraska",97.0,23.3,96.8,24.1,97.5,24.1,,
"Blaine, Nebraska",95.0,23.0,95.0,23.0,95.0,23.0,,
"Boone, Nebraska",94.9,21.1,94.8,20.9,95.0,21.1,100.0,82.4
"Box Butte, Nebraska",90.7,17.1,92.2,18.2,94.6,19.2,74.0,0.0
"Boyd, Nebraska",96.0,16.7,96.1,15.4,96.1,15.4,100.0,27.3
"Brown, Nebraska",95.1,20.7,95.3,20.9,95.2,20.0,100.0,0.0
"Buffalo, Nebraska",93.1,34.6,95.0,36.0,95.3,36.5,76.2,16.1
"Burt, Nebraska",91.3,21.3,92.2,20.8,92.3,21.1,66.7,66.7
"Butler, Nebraska",93.0,21.4,93.4,21.5,94.0,21.7,100.0,0.0
"Cass, Nebraska",94.4,27.7,94.6,28.2,94.8,28.2,100.0,0.0
"Cedar, Nebraska",92.5,21.0,93.4,21.4,93.8,21.4,30.8,0.0
"Chase, Nebraska",88.1,21.0,88.0,20.7,94.6,23.0,100.0,0.0
"Cherry, Nebraska",95.0,22.9,94.7,23.8,95.2,24.1,100.0,0.0
"Cheyenne, Nebraska",93.6,25.4,94.3,25.0,94.6,25.1,100.0,55.2
"Clay, Nebraska",91.5,19.9,92.3,19.8,94.1,20.8,100.0,100.0
"Colfax, Nebraska",69.3,15.4,71.2,16.6,92.1,22.0,44.5,2.4
"Cuming, Nebraska",88.4,23.8,90.4,24.1,92.3,24.7,100.0,88.9
"Custer, Nebraska",93.4,24.0,94.0,23.6,94.1,24.0,93.8,87.5
"Dakota, Nebraska",76.5,13.0,80.8,15.1,91.3,18.3,68.9,17.3
"Dawes, Nebraska",96.1,36.9,96.1,38.0,96.6,38.3,93.9,26.5
"Dawson, Nebraska",78.0,15.8,78.8,16.6,93.0,20.1,79.8,7.0
"Deuel, Nebraska",89.2,15.9,89.0,15.8,90.3,16.1,,
"Dixon, Nebraska",87.9,21.2,91.2,22.1,92.8,22.9,50.0,0.0
"Dodge, Nebraska",88.9,19.0,89.1,19.3,92.9,20.7,86.0,18.9
"Douglas, Nebraska",90.6,39.7,92.4,42.4,96.0,45.1,87.4,20.4
"Dundy, Nebraska",83.1,23.3,83.1,23.4,90.7,25.9,0.0,0.0
"Fillmore, Nebraska",92.1,21.4,91.9,21.1,92.4,21.6,100.0,0.0
"Franklin, Nebraska",92.5,17.3,92.7,17.6,93.0,17.8,100.0,0.0
"Frontier, Nebraska",95.9,21.5,95.8,21.6,95.9,21.7,100.0,100.0
"Furnas, Nebraska",88.8,17.4,89.4,17.2,90.1,17.2,0.0,0.0
"Gage, Nebraska",90.0,20.8,90.2,20.8,90.2,21.0,61.1,8.8
"Garden, Nebraska",94.1,22.5,94.2,22.8,94.0,23.7,100.0,0.0
"Garfield, Nebraska",96.3,25.5,96.3,25.6,96.3,25.6,100.0,0.0
"Gosper, Nebraska",93.0,29.5,93.0,29.0,94.1,30.0,100.0,0.0
"Grant, Nebraska",97.0,26.8,96.9,27.2,96.9,27.5,100.0,0.0
"Greeley, Nebraska",93.9,16.3,93.9,16.3,93.9,16.3,100.0,0.0
"Hall, Nebraska",84.6,21.5,88.0,22.6,93.0,24.9,72.3,17.3
"Hamilton, Nebraska",95.1,25.0,95.7,25.2,96.0,25.3,41.7,0.0
"Harlan, Nebraska",93.0,22.4,93.4,22.1,93.7,22.3,100.0,93.8
"Hayes, Nebraska",90.2,18.3,91.3,18.8,95.0,18.9,,
"Hitchcock, Nebraska",92.1,17.6,92.2,17.6,92.1,17.7,100.0,50.0
"Holt, Nebraska",93.5,22.4,93.4,22.6,94.4,22.9,100.0,0.0
"Hooker, Nebraska",93.5,26.4,94.7,27.3,94.3,25.3,0.0,0.0
"Howard, Nebraska",94.9,21.1,95.3,21.1,95.3,21.1,0.0,0.0
"Jefferson, Nebraska",91.1,17.8,91.7,17.8,93.2,18.1,100.0,0.0
"Johnson, Nebraska",86.3,17.5,89.8,20.0,90.7,20.0,68.4,1.6
"Kearney, Nebraska",96.4,26.7,96.9,26.8,96.9,27.2,33.3,0.0
"Keith, Nebraska",91.5,20.5,91.9,20.7,92.4,21.4,98.1,15.1
"Keya Paha, Nebraska",95.1,25.0,95.0,25.2,95.0,25.2,,
"Kimball, Nebraska",88.7,16.1,89.3,16.5,91.0,16.8,100.0,0.0
"Knox, Nebraska",92.1,21.6,93.0,22.7,93.1,22.8,100.0,32.0
"Lancaster, Nebraska",93.7,39.5,95.2,40.5,96.3,41.3,86.0,23.9
"Lincoln, Nebraska",93.5,23.2,93.5,23.2,94.9,23.8,96.2,10.2
"Logan, Nebraska",94.0,19.6,93.9,20.0,94.3,21.4,,
"Loup, Nebraska",98.1,25.3,98.5,25.4,98.4,26.1,,
"McPherson, Nebraska",89.2,22.0,89.0,20.5,89.0,20.5,,
"Madison, Nebraska",90.4,23.0,92.0,23.0,95.2,24.8,75.5,6.1
"Merrick, Nebraska",94.2,17.8,94.5,18.5,95.1,18.9,96.6,0.0
"Morrill, Nebraska",87.5,19.5,87.8,19.6,92.3,22.0,92.3,0.0
"Nance, Nebraska",93.2,18.3,93.7,18.3,93.6,18.7,57.1,57.1
"Nemaha, Nebraska",91.8,27.8,92.1,27.9,92.3,28.1,100.0,23.3
"Nuckolls, Nebraska",91.9,20.9,91.8,20.7,92.4,20.8,100.0,0.0
"Otoe, Nebraska",92.8,23.4,93.3,24.2,94.4,25.1,71.1,5.3
"Pawnee, Nebraska",87.6,17.1,87.8,17.5,87.7,17.6,100.0,0.0
"Perkins, Nebraska",88.0,28.1,88.2,28.3,89.1,28.9,100.0,0.0
"Phelps, Nebraska",93.3,23.5,93.8,24.3,94.4,24.3,100.0,16.7
"Pierce, Nebraska",95.4,23.2,95.6,22.7,95.7,22.7,100.0,46.7
"Platte, Nebraska",88.9,21.8,89.7,21.6,94.7,23.3,90.8,30.9
"Polk, Nebraska",91.4,21.8,92.1,21.9,93.0,22.5,37.5,0.0
"Red Willow, Nebraska",92.5,19.1,93.1,19.6,93.5,20.2,76.5,0.0
"Richardson, Nebraska",92.2,19.0,92.7,18.7,92.6,18.9,100.0,12.5
"Rock, Nebraska",96.7,23.2,96.6,23.8,96.6,23.9,100.0,0.0
"Saline, Nebraska",83.5,17.8,86.0,17.6,92.0,20.7,89.7,57.0
"Sarpy, Nebraska",95.5,39.8,96.1,40.5,97.0,41.4,92.6,34.0
"Saunders, Nebraska",93.2,25.4,93.5,25.4,93.7,25.7,83.3,35.0
"Scotts Bluff, Nebraska",88.0,22.9,89.1,23.6,93.3,27.4,96.6,18.1
"Seward, Nebraska",94.0,28.9,94.2,29.0,94.5,29.3,100.0,30.0
"Sheridan, Nebraska",90.6,22.8,92.6,24.7,92.5,24.9,100.0,0.0
"Sherman, Nebraska",93.0,20.2,93.2,20.3,93.1,20.6,,
"Sioux, Nebraska",93.2,30.6,93.1,30.7,93.1,30.7,100.0,100.0
"Stanton, Nebraska",93.7,17.8,94.2,17.9,94.3,18.0,100.0,22.6
"Thayer, Nebraska",92.4,18.8,92.2,19.0,92.6,19.3,100.0,0.0
"Thomas, Nebraska",93.9,24.7,96.4,26.5,96.4,26.5,,
"Thurston, Nebraska",89.1,16.4,94.1,25.1,95.2,25.5,100.0,0.0
"Valley, Nebraska",92.3,24.2,92.2,24.3,93.2,24.8,91.7,91.7
"Washington, Nebraska",95.6,29.9,95.8,30.1,96.0,30.5,78.1,3.9
"Wayne, Nebraska",96.0,32.4,96.1,32.6,96.8,33.3,71.4,14.3
"Webster, Nebraska",93.8,23.0,94.1,23.6,94.2,23.8,100.0,0.0
"Wheeler, Nebraska",95.6,19.4,96.0,19.3,96.0,19.5,,
"York, Nebraska",93.6,28.4,94.5,29.0,94.8,29.5,70.5,0.0
"Churchill, Nevada",91.6,18.8,94.3,19.7,95.0,20.9,96.6,0.0
"Clark, Nevada",86.1,24.5,88.3,25.9,93.9,30.1,89.7,17.8
"Douglas, Nevada",93.2,29.4,94.1,30.4,95.8,31.6,86.9,20.2
"Elko, Nevada",86.3,16.6,87.1,16.9,94.2,19.5,95.9,13.5
"Esmeralda, Nevada",88.3,16.1,88.6,16.9,94.5,18.8,100.0,0.0
"Eureka, Nevada",94.6,8.8,94.2,8.5,94.3,8.7,0.0,0.0
"Humboldt, Nevada",82.4,16.8,86.9,17.8,93.2,20.3,37.2,0.0
"Lander, Nevada",88.3,12.4,89.7,13.0,93.3,15.1,93.8,0.0
"Lincoln, Nevada",86.2,19.6,90.5,21.5,91.0,21.7,58.2,0.0
"Lyon, Nevada",86.9,14.4,88.1,15.4,91.2,16.1,81.6,4.1
"Mineral, Nevada",89.0,14.9,90.9,16.2,92.5,16.2,91.9,43.0
"Nye, Nevada",86.1,10.7,87.1,11.5,88.4,11.6,87.6,13.7
"Pershing, Nevada",80.9,11.1,83.4,12.8,88.1,14.0,86.6,0.0
"Storey, Nevada",93.6,31.4,95.7,32.1,95.7,32.2,13.4,0.0
"Washoe, Nevada",88.6,30.8,90.9,32.5,95.1,35.6,91.0,21.9
"White Pine, Nevada",88.1,13.2,89.5,14.2,93.0,16.5,74.2,0.0
"Carson City, Nevada",87.0,22.2,89.3,23.3,93.1,25.2,69.6,14.0
"Belknap, New Hampshire",93.2,32.6,93.3,32.4,93.3,32.5,99.1,8.9
"Carroll, New Hampshire",94.2,34.3,94.2,34.5,94.1,34.5,100.0,0.8
"Cheshire, New Hampshire",93.4,33.1,93.6,33.3,93.6,33.2,57.1,19.5
"Coos, New Hampshire",87.8,18.2,88.3,18.8,88.4,18.9,79.7,5.5
"Grafton, New Hampshire",92.8,40.6,93.0,39.5,93.2,39.4,93.0,66.1
"Hillsborough, New Hampshire",92.1,38.1,92.6,37.4,93.6,38.3,83.7,24.0
"Merrimack, New Hampshire",93.2,35.6,93.8,35.6,93.9,35.6,85.4,25.8
"Rockingham, New Hampshire",95.1,41.4,95.2,41.2,95.4,41.3,95.9,36.3
"Strafford, New Hampshire",92.8,35.8,93.3,35.6,93.3,35.5,91.0,20.6
"Sullivan, New Hampshire",91.2,28.1,91.0,27.2,91.1,27.2,94.2,81.6
"Atlantic, New Jersey",87.0,28.1,90.5,31.4,93.2,33.7,82.8,13.7
"Bergen, New Jersey",92.5,49.3,92.6,46.9,94.6,50.6,92.1,36.7
"Burlington, New Jersey",93.7,38.0,94.4,39.3,94.9,40.0,92.7,29.3
"Camden, New Jersey",88.7,32.5,91.6,35.9,93.2,37.3,88.4,22.3
"Cape May, New Jersey",92.5,32.8,93.1,34.0,93.5,34.9,82.7,8.2
"Cumberland, New Jersey",79.4,15.6,80.6,18.0,88.7,21.6,79.4,8.7
"Essex, New Jersey",86.1,35.5,88.5,47.7,93.1,56.6,86.4,20.8
"Gloucester, New Jersey",92.9,33.0,93.7,32.9,94.0,33.0,90.9,29.6
"Hudson, New Jersey",84.8,42.3,84.3,41.2,92.6,57.4,86.9,29.8
"Hunterdon, New Jersey",95.0,52.7,95.5,52.1,96.0,53.0,86.7,41.9
"Mercer, New Jersey",88.5,42.6,89.9,44.9,95.5,51.1,84.4,18.4
"Middlesex, New Jersey",89.8,43.6,89.3,35.0,93.6,39.9,92.7,34.4
"Monmouth, New Jersey",93.4,46.0,94.7,47.4,96.0,49.0,88.3,22.7
"Morris, New Jersey",94.5,54.1,95.2,53.0,96.8,55.9,92.0,38.6
"Ocean, New Jersey",92.0,30.0,92.7,29.9,93.5,30.6,90.1,24.9
"Passaic, New Jersey",83.7,28.2,86.4,33.0,92.6,40.4,86.3,13.8
"Salem, New Jersey",88.8,21.0,89.8,22.6,91.1,23.4,85.5,10.4
"Somerset, New Jersey",94.5,54.7,95.2,52.4,97.0,56.3,93.8,38.1
"Sussex, New Jersey",94.9,36.1,95.2,35.6,95.3,36.1,87.2,36.3
"Union, New Jersey",86.4,36.0,89.2,42.9,93.2,50.1,89.7,24.5
"Warren, New Jersey",91.5,33.0,92.2,32.6,93.1,33.3,94.3,34.3
"Bernalillo, New Mexico",88.9,34.4,90.6,37.5,96.6,49.0,91.5,29.9
"Catron, New Mexico",94.1,15.7,94.0,15.9,94.9,17.9,,
"Chaves, New Mexico",78.2,18.0,78.7,18.4,91.7,26.0,86.5,11.0
"Cibola, New Mexico",83.0,14.2,84.7,19.2,93.3,27.0,77.8,32.3
"Colfax, New Mexico",88.2,21.7,90.6,23.1,96.4,30.6,81.7,15.0
"Curry, New Mexico",81.9,19.2,88.3,24.3,92.7,28.2,88.8,4.1
"De Baca, New Mexico",84.3,13.0,94.5,14.6,97.0,17.4,100.0,0.0
"Doña Ana, New Mexico",79.4,27.1,79.6,26.7,94.8,45.9,90.5,44.1
"Eddy, New Mexico",84.4,16.2,85.1,16.1,92.2,22.2,89.4,25.1
"Grant, New Mexico",87.5,28.8,88.6,29.8,95.2,40.7,84.3,0.0
"Guadalupe, New Mexico",82.7,7.6,84.6,9.6,87.4,8.0,52.9,0.0
"Harding, New Mexico",85.4,21.7,88.7,24.9,95.8,31.8,,
"Hidalgo, New Mexico",82.3,14.6,82.0,14.8,91.1,25.2,100.0,0.0
"Lea, New Mexico",74.3,13.6,74.6,13.2,90.1,22.2,81.1,7.3
"Lincoln, New Mexico",89.5,25.8,89.9,25.7,93.1,30.1,27.9,0.0
"Los Alamos, New Mexico",97.6,67.4,98.1,67.4,99.0,70.5,98.1,74.0
"Luna, New Mexico",69.8,12.5,69.8,12.8,90.9,22.5,87.7,0.0
"McKinley, New Mexico",77.2,11.4,89.0,30.7,92.9,39.4,96.2,48.5
"Mora, New Mexico",89.2,11.0,91.5,14.0,94.2,19.8,100.0,100.0
"Otero, New Mexico",83.4,17.5,84.5,18.8,91.8,22.8,96.3,17.2
"Quay, New Mexico",81.9,17.1,81.7,16.9,88.1,22.1,100.0,31.0
"Rio Arriba, New Mexico",86.4,19.3,85.6,22.8,94.3,42.5,95.9,2.9
"Roosevelt, New Mexico",80.0,23.9,85.0,27.3,91.9,32.3,96.9,61.1
"Sandoval, New Mexico",89.9,30.5,93.2,35.1,96.6,41.4,88.6,36.9
"San Juan, New Mexico",84.9,14.9,88.9,19.9,90.9,22.0,96.0,29.7
"San Miguel, New Mexico",83.3,21.4,87.5,25.9,93.8,39.6,95.9,86.9
"Santa Fe, New Mexico",89.3,41.0,90.8,43.6,98.0,61.4,93.2,48.7
"Sierra, New Mexico",84.0,21.1,86.3,20.3,89.7,20.7,100.0,2.9
"Socorro, New Mexico",81.8,22.0,84.6,22.5,91.5,32.7,100.0,0.0
"Taos, New Mexico",90.1,28.7,90.9,30.5,96.7,45.4,93.4,19.1
"Torrance, New Mexico",84.6,14.8,86.6,15.1,89.6,19.8,89.4,32.9
"Union, New Mexico",81.9,11.7,86.1,12.8,91.6,15.8,66.1,3.4
"Valencia, New Mexico",84.5,18.5,85.7,19.0,91.5,25.5,89.9,17.3
"Albany, New York",92.1,41.8,94.5,44.0,95.0,44.5,82.3,19.1
"Allegany, New York",90.8,20.9,90.8,20.4,90.8,20.4,75.7,11.8
"Bronx, New York",72.8,20.1,75.4,25.9,86.3,39.3,79.3,20.9
"Broome, New York",90.7,28.4,91.8,28.6,91.9,28.4,82.4,17.5
"Cattaraugus, New York",88.8,19.1,89.1,19.4,89.2,19.5,72.6,5.6
"Cayuga, New York",87.8,22.6,89.8,23.7,90.3,23.8,51.4,3.2
"Chautauqua, New York",88.8,22.2,89.9,22.5,90.3,22.9,73.3,13.7
"Chemung, New York",90.3,23.3,91.6,23.9,91.9,24.0,76.6,10.7
"Chenango, New York",88.1,18.7,88.4,18.6,88.5,18.6,72.5,20.2
"Clinton, New York",87.6,22.9,88.9,23.5,89.0,23.6,74.7,5.1
"Columbia, New York",90.3,32.7,91.6,34.1,91.9,34.5,80.8,10.5
"Cortland, New York",90.7,28.0,90.6,27.5,90.5,27.5,85.3,18.3
"Delaware, New York",88.9,22.6,89.0,22.2,89.2,22.1,84.2,34.6
"Dutchess, New York",91.1,35.0,92.8,36.8,93.7,37.8,85.5,20.0
"Erie, New York",91.8,34.4,94.1,36.6,94.4,36.8,83.9,17.7
"Essex, New York",91.5,26.8,92.8,28.2,92.9,28.3,75.8,3.6
"Franklin, New York",87.4,19.1,88.7,21.2,88.8,21.1,69.8,1.7
"Fulton, New York",87.3,18.2,87.6,18.3,87.5,18.3,84.0,8.8
"Genesee, New York",92.2,22.3,93.1,22.6,93.3,22.7,83.8,7.5
"Greene, New York",86.7,22.1,87.8,22.4,89.0,22.7,66.2,7.6
"Hamilton, New York",77.5,16.8,77.5,17.2,77.3,17.4,50.0,5.9
"Herkimer, New York",89.8,21.5,90.0,21.3,90.1,21.4,82.3,4.8
"Jefferson, New York",91.0,22.2,91.5,22.3,91.5,22.5,86.6,18.8
"Kings, New York",82.4,37.5,88.6,51.6,92.0,57.2,84.8,24.1
"Lewis, New York",90.1,18.4,90.8,18.5,90.8,18.5,83.7,5.2
"Livingston, New York",90.6,26.5,91.3,27.0,91.6,27.2,79.1,8.6
"Madison, New York",92.0,26.2,92.1,26.4,92.1,26.4,90.1,9.9
"Monroe, New York",90.4,38.6,93.3,42.6,94.4,44.0,78.4,14.4
"Montgomery, New York",86.8,17.8,88.7,18.8,89.2,18.8,68.1,8.7
"Nassau, New York",91.4,46.0,93.8,48.6,95.8,50.9,91.0,32.9
"New York, New York",87.3,61.3,94.5,76.4,98.2,83.4,81.3,29.8
"Niagara, New York",91.2,24.6,92.3,25.2,92.4,25.3,82.4,13.5
"Oneida, New York",88.5,25.7,91.0,26.8,91.6,27.2,71.2,12.5
"Onondaga, New York",91.0,35.9,93.7,38.3,94.0,38.5,78.2,14.1
"Ontario, New York",93.9,36.3,94.6,36.8,94.7,37.0,85.6,23.6
"Orange, New York",89.7,30.3,91.2,31.7,92.4,32.9,90.2,25.7
"Orleans, New York",87.7,16.2,89.5,17.0,89.8,17.1,73.6,8.5
"Oswego, New York",88.2,19.0,88.4,18.9,88.6,18.8,78.3,10.2
"Otsego, New York",91.7,31.1,91.8,30.8,92.0,30.9,86.4,24.8
"Putnam, New York",93.0,39.6,94.3,39.6,95.1,40.4,94.3,53.5
"Queens, New York",82.0,32.2,86.1,37.0,91.3,45.0,86.7,25.4
"Rensselaer, New York",91.9,32.0,92.9,32.7,93.0,32.9,83.9,13.5
"Richmond, New York",88.7,33.9,90.5,33.9,92.7,36.5,85.3,26.5
"Rockland, New York",88.2,41.1,91.2,44.0,92.8,46.0,86.7,28.0
"St. Lawrence, New York",88.7,23.8,89.6,24.2,89.8,24.3,62.8,5.1
"Saratoga, New York",94.0,41.4,94.3,40.7,94.4,40.8,81.0,44.8
"Schenectady, New York",90.7,32.1,93.5,34.5,94.1,35.1,85.0,15.3
"Schoharie, New York",89.7,22.4,90.0,22.3,90.1,22.3,83.5,24.4
"Schuyler, New York",90.4,23.5,91.1,23.5,91.6,23.4,56.3,9.7
"Seneca, New York",84.8,21.1,87.4,22.3,87.6,22.5,47.5,1.3
"Steuben, New York",90.5,23.6,90.6,22.8,90.7,22.8,84.1,21.2
"Suffolk, New York",90.6,36.3,92.3,37.5,95.1,40.3,87.4,25.9
"Sullivan, New York",86.7,24.8,89.2,27.0,90.3,27.8,81.7,13.9
"Tioga, New York",91.2,26.0,91.6,26.1,91.7,26.1,76.7,19.2
"Tompkins, New York",94.4,53.5,95.3,52.7,95.4,52.5,86.7,32.5
"Ulster, New York",90.7,32.5,91.9,34.2,92.4,34.6,84.4,13.8
"Warren, New York",91.9,31.3,92.2,31.5,92.4,31.6,87.9,21.3
"Washington, New York",87.9,20.5,89.1,21.0,89.3,21.2,65.5,4.0
"Wayne, New York",89.2,22.6,90.3,23.3,90.5,23.5,70.5,6.7
"Westchester, New York",88.1,48.9,91.5,55.6,94.4,60.1,85.9,32.2
"Wyoming, New York",89.9,17.7,91.4,18.0,91.9,18.1,68.9,8.4
"Yates, New York",86.4,25.2,86.8,25.2,86.7,25.3,43.3,12.1
"Alamance, North Carolina",86.3,24.8,88.9,27.7,91.2,28.8,85.4,16.6
"Alexander, North Carolina",82.4,14.2,83.1,15.3,83.4,15.4,74.0,2.5
"Alleghany, North Carolina",77.5,17.3,77.4,17.0,79.1,17.5,91.5,30.9
"Anson, North Carolina",80.7,11.3,83.4,16.0,87.4,16.9,78.2,6.0
"Ashe, North Carolina",85.1,19.7,85.2,19.3,86.1,19.8,69.9,32.9
"Avery, North Carolina",83.6,20.7,84.2,22.0,85.0,22.4,70.9,0.2
"Beaufort, North Carolina",87.7,20.6,89.4,25.6,91.8,26.5,83.8,5.2
"Bertie, North Carolina",78.4,13.6,87.8,17.4,88.2,17.4,72.7,11.0
"Bladen, North Carolina",81.3,15.8,86.5,21.0,88.0,21.6,75.6,8.2
"Brunswick, North Carolina",91.3,29.9,92.3,32.0,92.5,32.3,88.2,14.6
"Buncombe, North Carolina",91.1,40.1,91.5,41.8,93.0,42.8,90.0,17.8
"Burke, North Carolina",81.6,16.4,83.1,18.0,83.5,18.2,83.7,4.9
"Cabarrus, North Carolina",89.9,32.3,91.2,32.5,92.3,32.7,88.6,26.4
"Caldwell, North Carolina",80.0,15.7,80.4,15.9,80.7,15.9,81.8,10.9
"Camden, North Carolina",86.5,17.1,88.8,16.8,88.6,17.0,74.7,22.7
"Carteret, North Carolina",91.6,29.1,92.2,29.7,92.7,29.8,82.5,19.1
"Caswell, North Carolina",80.4,15.9,82.8,18.6,83.2,18.8,78.3,10.2
"Catawba, North Carolina",85.9,22.6,87.8,24.5,88.7,24.9,78.6,11.0
"Chatham, North Carolina",88.9,42.4,90.4,46.5,93.5,48.6,85.5,18.7
"Cherokee, North Carolina",87.2,19.0,87.7,19.7,87.9,19.6,74.1,0.0
"Chowan, North Carolina",86.8,21.7,90.1,29.3,89.9,28.9,81.1,8.1
"Clay, North Carolina",88.2,23.7,88.6,24.0,89.2,24.7,41.9,20.0
"Cleveland, North Carolina",84.2,17.6,86.2,19.7,86.4,19.8,77.5,9.5
"Columbus, North Carolina",83.0,13.8,85.0,16.1,86.9,16.4,81.7,9.1
"Craven, North Carolina",88.8,25.3,92.5,29.3,93.1,29.8,83.1,13.9
"Cumberland, North Carolina",91.0,25.5,92.3,27.3,92.9,27.6,90.7,23.4
"Currituck, North Carolina",90.5,23.5,90.8,23.0,91.1,23.2,86.0,20.2
"Dare, North Carolina",94.2,34.7,94.9,35.7,96.0,36.9,75.9,15.3
"Davidson, North Carolina",83.9,18.5,84.7,19.0,85.7,19.3,82.8,14.0
"Davie, North Carolina",87.8,24.0,88.6,25.0,90.4,25.8,77.4,8.5
"Duplin, North Carolina",76.0,12.1,76.7,13.7,85.9,16.2,74.7,6.9
"Durham, North Carolina",88.4,48.2,90.3,56.7,96.4,62.8,87.8,33.9
"Edgecombe, North Carolina",81.1,13.6,82.6,17.4,83.9,17.6,80.5,10.4
"Forsyth, North Carolina",89.2,34.0,90.8,37.8,94.1,40.2,88.2,22.5
"Franklin, North Carolina",86.2,22.0,90.8,23.6,92.2,24.0,77.9,18.4
"Gaston, North Carolina",84.8,21.2,85.4,21.3,86.1,21.6,84.9,18.8
"Gates, North Carolina",89.1,14.3,91.8,15.6,91.8,15.6,84.1,12.7
"Graham, North Carolina",81.9,12.9,82.1,12.6,82.2,12.5,21.4,0.0
"Granville, North Carolina",84.3,22.5,87.5,26.9,88.4,27.2,80.4,14.5
"Greene, North Carolina",75.0,11.0,77.3,13.9,85.1,16.3,72.7,7.2
"Guilford, North Carolina",89.1,36.0,92.0,42.3,93.8,43.8,87.4,24.9
"Halifax, North Carolina",78.6,14.4,85.2,18.9,86.3,19.1,73.6,10.4
"Harnett, North Carolina",87.5,21.9,89.5,23.5,90.6,23.7,86.3,17.6
"Haywood, North Carolina",88.0,26.0,88.5,26.0,88.9,26.3,74.9,24.2
"Henderson, North Carolina",89.9,31.8,90.7,32.7,92.7,33.9,83.0,12.1
"Hertford, North Carolina",80.8,14.9,85.6,18.6,86.4,19.1,78.1,11.5
"Hoke, North Carolina",87.1,17.7,93.1,21.6,93.9,22.4,88.6,15.5
"Hyde, North Carolina",80.8,9.2,85.4,13.0,88.3,13.9,74.1,2.2
"Iredell, North Carolina",89.3,28.4,90.4,29.8,91.9,30.4,84.9,14.2
"Jackson, North Carolina",89.4,30.4,90.3,32.4,90.6,32.7,99.5,40.5
"Johnston, North Carolina",86.9,22.9,88.3,23.8,91.2,25.0,84.9,20.1
"Jones, North Carolina",81.1,12.2,82.7,14.1,83.8,14.0,78.5,8.1
"Lee, North Carolina",83.5,21.5,84.7,23.8,91.4,27.2,82.0,14.0
"Lenoir, North Carolina",79.7,14.9,81.8,18.0,85.4,19.5,78.3,10.7
"Lincoln, North Carolina",87.9,23.0,88.7,23.8,89.3,24.2,82.7,13.8
"McDowell, North Carolina",83.9,17.4,85.0,18.0,85.6,18.4,75.8,10.3
"Macon, North Carolina",89.3,23.8,90.3,24.3,91.1,24.4,72.6,7.6
"Madison, North Carolina",87.0,28.5,87.3,28.9,87.5,28.9,68.8,10.7
"Martin, North Carolina",83.4,16.4,89.4,20.1,89.5,20.2,75.4,10.9
"Mecklenburg, North Carolina",90.3,45.4,93.6,54.4,96.5,57.7,91.0,30.9
"Mitchell, North Carolina",85.2,20.5,85.3,20.5,86.5,20.9,27.3,0.0
"Montgomery, North Carolina",79.5,15.7,80.4,17.5,84.3,18.0,74.5,9.3
"Moore, North Carolina",90.7,37.4,92.4,40.1,93.1,40.5,83.9,21.0
"Nash, North Carolina",85.6,20.8,90.0,25.8,91.1,26.2,82.0,13.6
"New Hanover, North Carolina",93.2,40.6,94.5,44.0,95.0,44.6,88.3,17.8
"Northampton, North Carolina",80.4,13.8,82.7,16.1,82.7,16.1,78.3,11.4
"Onslow, North Carolina",91.5,22.9,92.6,24.3,93.0,24.4,87.7,17.0
"Orange, North Carolina",92.7,59.7,94.4,63.9,96.5,65.7,87.8,29.4
"Pamlico, North Carolina",88.0,18.5,92.9,22.3,93.4,22.7,68.6,2.4
"Pasquotank, North Carolina",87.0,22.1,90.2,21.6,92.1,21.9,82.3,21.8
"Pender, North Carolina",87.8,27.9,91.0,31.1,91.4,31.6,78.3,14.6
"Perquimans, North Carolina",86.9,20.2,89.4,23.7,89.5,23.6,80.0,9.5
"Person, North Carolina",86.5,15.6,89.3,18.7,89.7,18.7,79.3,8.7
"Pitt, North Carolina",89.3,32.7,93.7,41.5,94.2,41.7,83.5,17.9
"Polk, North Carolina",90.8,29.1,91.8,30.6,92.3,30.6,80.4,4.3
"Randolph, North Carolina",81.5,15.7,83.9,16.0,85.2,16.5,78.0,15.3
