Geographic Area Name,HighSchool_WholeRate,Bachelor_WholeRate,HighSchool_WhiteRate,Bachelor_WhiteRate,HighSchool_NHWhiteRate,Bachelor_NHWhiteRate,HighSchool_BlackRate,Bachelor_BlackRate
"Jefferson, Arkansas",86.1,18.0,88.0,16.7,88.4,16.8,84.7,19.2
"Johnson, Arkansas",78.9,15.4,80.0,15.9,84.0,17.3,74.7,3.5
"Lafayette, Arkansas",79.7,15.8,80.8,19.9,81.3,20.2,78.5,8.0
"Lawrence, Arkansas",84.1,15.4,84.2,15.1,84.4,15.2,67.5,31.6
"Lee, Arkansas",75.8,10.7,80.6,15.8,80.5,14.9,71.7,6.5
"Lincoln, Arkansas",81.1,9.7,82.4,11.5,83.1,11.8,79.7,7.0
"Little River, Arkansas",89.0,12.5,89.8,14.1,90.2,14.2,87.1,5.5
"Logan, Arkansas",86.2,13.3,86.4,13.9,86.4,14.0,75.7,0.0
"Lonoke, Arkansas",89.1,20.6,90.2,21.6,90.4,21.7,78.3,12.5
"Madison, Arkansas",80.6,14.2,81.4,14.9,82.8,15.5,100.0,0.0
"Marion, Arkansas",86.5,17.1,87.2,17.1,87.3,17.2,89.3,0.0
"Miller, Arkansas",86.5,16.8,87.4,19.1,87.8,19.2,84.9,9.2
"Mississippi, Arkansas",81.1,13.8,82.6,15.9,83.1,16.0,78.9,9.8
"Monroe, Arkansas",78.9,12.7,78.9,14.9,79.0,15.0,77.7,8.6
"Montgomery, Arkansas",79.8,13.5,79.8,13.4,80.0,13.4,69.2,61.5
"Nevada, Arkansas",90.4,14.6,91.8,17.0,91.9,17.0,87.1,9.8
"Newton, Arkansas",86.5,20.5,86.2,19.7,86.1,19.7,100.0,100.0
"Ouachita, Arkansas",86.0,14.5,89.2,16.3,89.6,16.5,80.9,11.5
"Perry, Arkansas",84.8,12.7,84.7,12.8,84.9,12.8,100.0,3.4
"Phillips, Arkansas",80.3,13.8,84.2,21.3,84.2,21.7,77.6,8.6
"Pike, Arkansas",87.4,17.3,88.9,18.2,89.3,18.5,71.0,1.0
"Poinsett, Arkansas",80.3,11.1,81.4,11.4,81.7,11.5,68.7,8.3
"Polk, Arkansas",84.9,14.1,85.7,14.3,86.4,14.8,93.1,0.0
"Pope, Arkansas",84.5,22.8,84.6,23.3,86.9,24.5,91.4,4.2
"Prairie, Arkansas",83.2,15.4,84.8,17.0,84.8,16.8,77.9,1.9
"Pulaski, Arkansas",90.4,34.3,92.8,41.2,94.0,42.4,87.1,21.0
"Randolph, Arkansas",82.9,13.8,83.3,14.2,83.3,14.3,78.1,15.8
"St. Francis, Arkansas",81.9,10.4,85.9,11.1,85.7,11.2,79.1,8.3
"Saline, Arkansas",90.6,26.7,90.9,26.6,91.8,27.0,90.0,29.1
"Scott, Arkansas",79.1,9.3,79.7,8.1,79.8,8.2,100.0,0.0
"Searcy, Arkansas",81.8,11.9,82.9,12.6,83.0,12.7,57.1,0.0
"Sebastian, Arkansas",84.1,21.3,88.3,23.3,89.6,23.8,82.0,9.2
"Sevier, Arkansas",76.5,12.8,84.0,15.8,87.3,16.7,91.1,10.9
"Sharp, Arkansas",83.5,10.2,83.5,10.3,83.5,10.3,78.0,0.0
"Stone, Arkansas",81.2,13.9,80.9,13.6,80.8,13.5,100.0,0.0
"Union, Arkansas",84.9,21.1,89.2,26.5,90.6,27.0,76.3,9.7
"Van Buren, Arkansas",85.1,14.5,85.0,14.5,85.2,14.5,91.4,0.0
"Washington, Arkansas",85.0,33.3,89.5,36.3,91.9,38.0,89.0,26.2
"White, Arkansas",84.4,20.9,84.4,21.0,85.2,21.2,87.5,17.2
"Woodruff, Arkansas",81.7,14.0,85.1,16.5,85.1,16.5,72.1,6.5
"Yell, Arkansas",78.2,12.8,81.9,13.7,82.7,13.9,74.4,1.5
"Alameda, California",88.4,47.4,92.3,52.4,96.5,58.7,90.8,29.2
"Alpine, California",91.2,34.5,96.4,45.2,97.7,47.8,100.0,0.0
"Amador, California",90.0,19.3,92.2,20.4,93.1,20.7,65.9,2.2
"Butte, California",89.2,27.2,91.0,28.5,92.6,29.4,91.9,21.7
"Calaveras, California",90.2,18.3,91.1,19.1,92.2,19.8,67.3,12.6
"Colusa, California",71.3,15.0,71.9,15.1,93.6,24.5,74.9,8.7
"Contra Costa, California",89.5,42.4,92.6,45.9,96.8,51.1,91.9,27.1
"Del Norte, California",80.1,14.8,81.2,14.3,87.4,16.6,65.9,24.0
"El Dorado, California",93.4,34.3,94.2,33.8,95.5,34.9,87.1,31.8
"Fresno, California",76.0,21.2,78.6,22.4,92.3,32.2,84.7,18.4
"Glenn, California",74.8,14.2,78.3,14.8,88.6,18.2,87.6,13.3
"Humboldt, California",90.5,30.4,92.1,32.4,92.7,32.8,74.4,22.0
"Imperial, California",69.7,15.2,73.1,16.7,93.2,24.7,74.5,9.5
"Inyo, California",88.6,27.2,88.5,28.3,94.4,32.1,81.7,22.9
"Kern, California",74.1,16.4,74.5,16.0,89.6,23.6,82.8,15.4
"Kings, California",73.4,14.7,76.1,16.1,91.3,23.0,78.7,12.6
"Lake, California",85.8,15.5,88.8,16.4,91.0,17.1,77.8,14.2
"Lassen, California",83.2,12.9,85.9,14.2,93.0,17.2,64.8,3.9
"Los Angeles, California",79.1,32.5,81.2,35.1,94.9,50.5,89.8,26.7
"Madera, California",71.9,14.6,77.3,16.3,91.4,21.9,81.0,15.6
"Marin, California",93.3,59.5,96.5,64.4,97.8,66.5,84.0,28.7
"Mariposa, California",90.6,24.6,92.1,25.3,93.0,26.8,65.4,8.4
"Mendocino, California",86.5,24.4,88.4,25.7,92.9,28.4,89.8,19.7
"Merced, California",69.1,13.8,76.8,16.2,88.1,22.1,86.4,13.2
"Modoc, California",84.8,15.2,85.2,15.8,90.5,17.3,97.1,9.5
"Mono, California",88.6,28.8,89.3,30.1,96.6,36.1,71.1,6.6
"Monterey, California",71.5,24.7,81.9,32.7,94.6,44.2,87.9,18.3
"Napa, California",85.5,35.7,88.9,38.6,96.6,45.1,87.3,22.7
"Nevada, California",94.4,37.2,95.2,37.2,95.9,38.4,81.2,33.6
"Orange, California",85.5,40.6,88.8,40.5,96.5,49.3,92.5,36.9
"Placer, California",94.5,39.7,95.2,38.8,96.4,40.3,96.7,38.1
"Plumas, California",95.1,23.7,95.0,23.2,95.1,23.4,100.0,0.0
"Riverside, California",82.0,22.3,85.8,24.0,93.9,29.7,91.7,25.4
"Sacramento, California",87.7,30.9,91.1,32.6,94.2,35.4,90.1,22.1
"San Benito, California",80.5,19.7,80.9,19.0,95.2,29.7,91.7,51.7
"San Bernardino, California",80.0,21.0,81.3,19.7,91.7,26.6,87.7,22.3
"San Diego, California",87.4,38.8,88.2,39.5,96.2,48.7,91.8,25.9
"San Francisco, California",88.5,58.1,96.7,73.8,98.4,77.4,88.4,30.5
"San Joaquin, California",79.3,18.8,80.5,17.8,90.6,23.5,87.9,15.3
"San Luis Obispo, California",91.3,35.4,92.6,36.5,96.4,40.4,82.0,13.7
"San Mateo, California",89.6,51.0,92.4,53.7,97.0,60.4,90.9,28.4
"Santa Barbara, California",80.9,34.2,81.9,36.2,96.9,49.9,87.7,26.0
"Santa Clara, California",88.4,52.4,90.9,51.0,96.5,60.0,92.0,38.0
"Santa Cruz, California",86.3,40.8,91.5,45.3,97.2,50.9,87.3,40.5
"Shasta, California",91.1,22.2,92.0,22.1,92.5,22.5,88.0,25.1
"Sierra, California",92.4,17.9,93.1,17.7,96.3,19.0,0.0,0.0
"Siskiyou, California",90.2,23.2,91.6,24.7,93.2,25.2,93.3,6.0
"Solano, California",88.4,26.9,90.1,27.1,95.0,30.8,91.9,20.6
